Marketplace,Segment,Country, Product , Discount Band , Status , Units Sold , Manufacturing Price , Sale Price , Gross Sales , Discounts ,  Sales , COGS , Profit ,Date,Month Number, Month Name ,Year
Marketplace 1,Midmarket,Mexico, Paseo , Low , Open ," $1,514.00 ", $10.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",1/10/2013 23:15,10, October ,2013
Marketplace 1,Government,United States of America, Paseo , Low , Closed , $274.00 , $10.00 , $350.00 ," $95,900.00 "," $3,836.00 "," $92,064.00 "," $71,240.00 "," $20,824.00 ",1/12/2014 5:10,12, December ,2014
Marketplace 1,Enterprise,Mexico, Paseo , Low , Closed ," $1,138.00 ", $10.00 , $125.00 ," $142,250.00 "," $5,690.00 "," $136,560.00 "," $136,560.00 ", $-   ,1/12/2014 20:10,12, December ,2014
Marketplace 2,Channel Partners,United States of America, Velo , Low , Open ," $1,465.00 ", $120.00 , $12.00 ," $17,580.00 ", $703.20 ," $16,876.80 "," $4,395.00 "," $12,481.80 ",1/03/2014 20:20,3, March ,2014
Marketplace 2,Government,Canada, Velo , Low , Closed ," $2,646.00 ", $120.00 , $20.00 ," $52,920.00 "," $2,116.80 "," $50,803.20 "," $26,460.00 "," $24,343.20 ",1/09/2013 5:23,9, September ,2013
Marketplace 1,Government,France, Velo , Low , Closed ," $2,177.00 ", $120.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",1/10/2014 7:04,10, October ,2014
Marketplace 2,Channel Partners,France, VTT , Low , Open , $866.00 , $250.00 , $12.00 ," $10,392.00 ", $415.68 ," $9,976.32 "," $2,598.00 "," $7,378.32 ",1/05/2014 5:02,5, May ,2014
Marketplace 2,Government,United States of America, VTT , Low , Closed , $349.00 , $250.00 , $350.00 ," $122,150.00 "," $4,886.00 "," $117,264.00 "," $90,740.00 "," $26,524.00 ",1/09/2013 4:02,9, September ,2013
Marketplace 1,Government,France, VTT , Low , Closed ," $2,177.00 ", $250.00 , $350.00 ," $761,950.00 "," $30,478.00 "," $731,472.00 "," $566,020.00 "," $165,452.00 ",1/10/2014 5:02,10, October ,2014
Marketplace 2,Midmarket,Mexico, VTT , Low , Open ," $1,514.00 ", $250.00 , $15.00 ," $22,710.00 ", $908.40 ," $21,801.60 "," $15,140.00 "," $6,661.60 ",1/10/2013 8:07,10, October ,2013
Marketplace 1,Government,Mexico, Amarilla , Low , Closed ," $1,865.00 ", $260.00 , $350.00 ," $652,750.00 "," $26,110.00 "," $626,640.00 "," $484,900.00 "," $141,740.00 ",1/02/2014 2:04,2, February ,2014
Marketplace 2,Enterprise,Mexico, Amarilla , Low , Open ," $1,074.00 ", $260.00 , $125.00 ," $134,250.00 "," $5,370.00 "," $128,880.00 "," $128,880.00 ", $-   ,1/04/2014 7:05,4, April ,2014
Marketplace 1,Government,Germany, Amarilla , Low , Open ," $1,907.00 ", $260.00 , $350.00 ," $667,450.00 "," $26,698.00 "," $640,752.00 "," $495,820.00 "," $144,932.00 ",1/09/2014 2:07,9, September ,2014
